training,epoch,total_reward
0,0,35.30000000000002
0,1,1.4999999999999865
0,2,18.59999999999998
0,3,28.099999999999987
0,4,23.299999999999965
0,5,209.79999999999742
0,6,192.29999999999788
0,7,203.2999999999976
0,8,177.09999999999835
0,9,206.49999999999687
0,10,196.2999999999978
0,11,202.3999999999972
0,12,193.19999999999743
0,13,203.19999999999723
0,14,209.19999999999686
0,15,208.4999999999971
0,16,372.5999999999998
0,17,383.49999999999983
0,18,211.69999999999692
0,19,209.39999999999688
0,20,210.49999999999702
0,21,209.39999999999696
0,22,209.49999999999682
0,23,208.49999999999687
0,24,205.7999999999973
0,25,208.69999999999698
0,26,209.99999999999704
0,27,209.299999999997
0,28,209.59999999999692
0,29,209.59999999999692
0,30,209.79999999999686
0,31,208.7999999999969
0,32,207.8999999999971
0,33,208.1999999999969
0,34,206.69999999999698
0,35,206.09999999999698
0,36,208.89999999999702
0,37,207.29999999999703
0,38,211.39999999999696
0,39,208.49999999999702
0,40,208.89999999999714
0,41,208.49999999999682
0,42,208.29999999999686
0,43,210.1999999999969
0,44,207.0999999999971
0,45,207.8999999999971
0,46,205.49999999999716
0,47,206.69999999999698
0,48,204.19999999999706
0,49,206.29999999999706
1,0,27.60000000000001
1,1,15.599999999999973
1,2,-35.199999999999974
1,3,204.2999999999973
1,4,364.39999999999975
1,5,211.69999999999683
1,6,210.59999999999687
1,7,214.49999999999676
1,8,211.29999999999703
1,9,209.19999999999715
1,10,211.39999999999705
1,11,203.5999999999971
1,12,210.99999999999685
1,13,212.09999999999695
1,14,210.99999999999693
1,15,210.69999999999698
1,16,208.69999999999692
1,17,209.39999999999696
1,18,209.7999999999968
1,19,209.499999999997
1,20,206.59999999999715
1,21,211.79999999999694
1,22,208.69999999999703
1,23,210.4999999999969
1,24,208.4999999999969
1,25,207.89999999999705
1,26,211.99999999999702
1,27,210.59999999999698
1,28,207.09999999999698
1,29,205.79999999999714
1,30,207.99999999999696
1,31,209.99999999999693
1,32,208.999999999997
1,33,210.2999999999968
1,34,208.29999999999703
1,35,208.69999999999695
1,36,206.89999999999702
1,37,207.29999999999706
1,38,208.499999999997
1,39,208.7999999999969
1,40,209.29999999999697
1,41,206.69999999999695
1,42,206.6999999999972
1,43,208.0999999999968
1,44,206.29999999999697
1,45,215.3999999999967
1,46,204.99999999999716
1,47,204.69999999999715
1,48,201.1999999999973
1,49,206.79999999999686
2,0,24.299999999999983
2,1,-22.100000000000023
2,2,194.69999999999789
2,3,194.49999999999778
2,4,201.79999999999742
2,5,177.99999999999835
2,6,204.99999999999727
2,7,197.8999999999975
2,8,199.4999999999973
2,9,194.3999999999977
2,10,202.39999999999733
2,11,201.49999999999736
2,12,195.59999999999746
2,13,204.59999999999692
2,14,213.89999999999708
2,15,370.59999999999974
2,16,212.09999999999678
2,17,211.39999999999677
2,18,209.69999999999686
2,19,209.19999999999706
2,20,211.69999999999698
2,21,210.2999999999966
2,22,212.5999999999969
2,23,206.69999999999698
2,24,209.99999999999707
2,25,208.99999999999696
2,26,207.799999999997
2,27,207.69999999999698
2,28,210.09999999999692
2,29,210.79999999999708
2,30,208.09999999999684
2,31,210.59999999999698
2,32,208.899999999997
2,33,209.39999999999708
2,34,207.69999999999717
2,35,209.79999999999686
2,36,208.3999999999969
2,37,207.099999999997
2,38,210.59999999999684
2,39,206.0999999999971
2,40,208.8999999999968
2,41,206.79999999999706
2,42,208.29999999999703
2,43,205.89999999999696
2,44,209.09999999999707
2,45,207.59999999999704
2,46,206.399999999997
2,47,208.39999999999694
2,48,209.6999999999968
2,49,206.89999999999705
3,0,33.200000000000045
3,1,-71.29999999999993
3,2,204.99999999999744
3,3,371.29999999999967
3,4,212.4999999999969
3,5,209.79999999999683
3,6,207.9999999999971
3,7,199.39999999999742
3,8,206.8999999999972
3,9,197.89999999999768
3,10,197.5999999999977
3,11,210.89999999999708
3,12,199.59999999999764
3,13,202.9999999999972
3,14,208.5999999999969
3,15,219.8999999999972
3,16,203.699999999997
3,17,206.0999999999971
3,18,201.8999999999974
3,19,209.69999999999695
3,20,206.89999999999682
3,21,207.59999999999687
3,22,199.59999999999744
3,23,202.89999999999733
3,24,207.69999999999723
3,25,209.89999999999677
3,26,201.29999999999728
3,27,202.89999999999708
3,28,220.8999999999971
3,29,206.9999999999972
3,30,209.19999999999692
3,31,207.39999999999702
3,32,206.1999999999968
3,33,208.39999999999702
3,34,207.79999999999683
3,35,202.69999999999717
3,36,210.39999999999728
3,37,206.699999999997
3,38,207.89999999999702
